Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
2008,Alpha Innovations,Email,Men 25-34,15 Days,Email,0.03,17293,4.77,Los Angeles,German,373,7151,10,Tech Enthusiasts,2021-07-02
2009,Innovate Industries,Search,Men 18-24,60 Days,Email,0.11,19824,6.57,Miami,Spanish,664,3343,5,Tech Enthusiasts,2021-07-03
2010,Innovate Industries,Influencer,Women 25-34,15 Days,Google Ads,0.11,5627,5.88,New York,Spanish,591,2805,1,Foodies,2021-07-04
2011,Nexgen Systems,Influencer,Women 35-44,30 Days,Youtube,0.01,14290,5.8,Houston,Mandarin,433,9524,6,Tech Enthusiasts,2021-07-05
2012,Datatech Solutions,Search,Men 25-34,60 Days,Instagram,0.03,12900,7.21,Houston,French,567,3054,1,Fashionistas,2021-07-06
2013,Techcorp,Display,Women 25-34,30 Days,Youtube,0.1,18651,5.34,Los Angeles,French,960,5699,10,Tech Enthusiasts,2021-07-07
2014,Nexgen Systems,Search,Women 25-34,60 Days,Email,0.03,9427,3.89,New York,Mandarin,393,4582,1,Foodies,2021-07-08
2015,Nexgen Systems,Display,Women 35-44,15 Days,Instagram,0.12,16476,2.45,Los Angeles,Spanish,629,5619,5,Outdoor Adventurers,2021-07-09
2016,Techcorp,Email,All Ages,15 Days,Instagram,0.1,8318,2.75,New York,Spanish,188,9719,10,Fashionistas,2021-07-10
2017,Alpha Innovations,Social Media,Men 18-24,15 Days,Email,0.12,9884,3.63,Miami,Mandarin,666,5225,3,Foodies,2021-07-11
2018,Datatech Solutions,Social Media,All Ages,60 Days,Website,0.11,8581,3.16,Chicago,German,778,3144,8,Health & Wellness,2021-07-12
2019,Techcorp,Search,All Ages,30 Days,Instagram,0.06,17673,6.49,New York,Spanish,101,4017,5,Outdoor Adventurers,2021-07-13
2020,Datatech Solutions,Display,All Ages,30 Days,Email,0.02,8484,5.23,Miami,English,834,3736,5,Outdoor Adventurers,2021-07-14
2021,Nexgen Systems,Social Media,Men 25-34,15 Days,Google Ads,0.13,10397,4.57,Los Angeles,German,761,5660,8,Outdoor Adventurers,2021-07-15
2022,Datatech Solutions,Influencer,Women 35-44,30 Days,Google Ads,0.06,14629,4.66,Los Angeles,German,913,7405,7,Health & Wellness,2021-07-16
2023,Datatech Solutions,Social Media,Men 18-24,30 Days,Email,0.07,18769,4.89,Chicago,French,791,2882,5,Outdoor Adventurers,2021-07-17
2024,Nexgen Systems,Influencer,Men 18-24,15 Days,Google Ads,0.03,5162,6.56,Houston,French,649,2517,6,Health & Wellness,2021-07-18
2025,Innovate Industries,Influencer,Men 18-24,15 Days,Youtube,0.12,18000,5.44,Chicago,French,241,4717,8,Tech Enthusiasts,2021-07-19
2026,Innovate Industries,Social Media,Women 35-44,15 Days,Google Ads,0.09,11930,7.48,New York,German,857,6242,10,Outdoor Adventurers,2021-07-20
2027,Datatech Solutions,Social Media,All Ages,45 Days,Youtube,0.03,6511,6.54,Los Angeles,Mandarin,398,4014,6,Outdoor Adventurers,2021-07-21
2028,Alpha Innovations,Search,Women 25-34,45 Days,Website,0.01,12425,4.56,New York,Spanish,102,3183,8,Foodies,2021-07-22
2029,Innovate Industries,Social Media,Men 25-34,30 Days,Youtube,0.13,15257,7.05,Los Angeles,Spanish,208,4255,4,Foodies,2021-07-23
2030,Alpha Innovations,Influencer,Men 25-34,30 Days,Google Ads,0.1,7593,5.37,Chicago,Mandarin,931,5759,5,Foodies,2021-07-24
2031,Innovate Industries,Display,Women 25-34,45 Days,Email,0.03,12608,2.26,Miami,Mandarin,665,2646,5,Fashionistas,2021-07-25
2032,Datatech Solutions,Display,Men 18-24,15 Days,Youtube,0.08,6634,3.35,Houston,Mandarin,235,6997,10,Health & Wellness,2021-07-26
2033,Innovate Industries,Email,Women 35-44,60 Days,Website,0.02,8178,5.42,New York,Mandarin,544,5323,9,Fashionistas,2021-07-27
2034,Datatech Solutions,Social Media,Women 35-44,15 Days,Instagram,0.04,19677,2.95,New York,Mandarin,225,5679,4,Outdoor Adventurers,2021-07-28
2035,Techcorp,Email,Women 25-34,60 Days,Youtube,0.13,6184,4.36,New York,French,746,6281,3,Tech Enthusiasts,2021-07-29
2036,Nexgen Systems,Search,Men 25-34,45 Days,Email,0.08,10039,7.96,Los Angeles,French,337,7572,5,Outdoor Adventurers,2021-07-30
2037,Datatech Solutions,Display,Men 25-34,45 Days,Instagram,0.09,8663,6.25,Chicago,Spanish,139,9712,7,Foodies,2021-07-31
2038,Datatech Solutions,Influencer,Women 35-44,30 Days,Instagram,0.07,8197,2.26,Houston,English,473,4825,1,Fashionistas,2021-08-01
2039,Techcorp,Display,Women 35-44,60 Days,Email,0.06,18231,2.6,New York,English,449,4061,2,Tech Enthusiasts,2021-08-02
2040,Innovate Industries,Influencer,Men 18-24,15 Days,Website,0.14,7450,2.95,New York,Mandarin,748,6084,10,Foodies,2021-08-03
2041,Techcorp,Search,Women 35-44,45 Days,Website,0.07,15095,6.76,Chicago,French,425,5051,1,Tech Enthusiasts,2021-08-04
2042,Nexgen Systems,Social Media,Men 18-24,15 Days,Website,0.02,18109,2.36,Houston,English,881,6087,10,Health & Wellness,2021-08-05
2043,Innovate Industries,Email,Women 25-34,30 Days,Facebook,0.14,8213,7.24,New York,Mandarin,457,6784,4,Tech Enthusiasts,2021-08-06
2044,Alpha Innovations,Email,Men 18-24,60 Days,Youtube,0.04,10691,7.12,New York,French,483,7117,9,Health & Wellness,2021-08-07
2045,Techcorp,Social Media,Women 25-34,60 Days,Facebook,0.05,6026,5.21,Chicago,Spanish,495,3000,9,Tech Enthusiasts,2021-08-08
2046,Techcorp,Influencer,Women 35-44,15 Days,Website,0.11,11746,7.39,Houston,Spanish,200,6729,8,Fashionistas,2021-08-09
2047,Innovate Industries,Search,Women 35-44,15 Days,Email,0.07,19764,2.88,Miami,Mandarin,399,4829,3,Tech Enthusiasts,2021-08-10
2048,Innovate Industries,Search,Men 25-34,60 Days,Email,0.03,16537,3.76,Los Angeles,French,382,3692,2,Fashionistas,2021-08-11
2049,Nexgen Systems,Display,Men 25-34,60 Days,Instagram,0.14,16552,6.0,Houston,English,399,6352,2,Tech Enthusiasts,2021-08-12
2050,Alpha Innovations,Influencer,Women 35-44,45 Days,Facebook,0.04,15255,2.51,Chicago,Spanish,637,1916,7,Fashionistas,2021-08-13
2051,Innovate Industries,Display,Women 25-34,15 Days,Facebook,0.07,19264,4.55,New York,Spanish,813,2434,6,Foodies,2021-08-14
2052,Techcorp,Search,All Ages,15 Days,Youtube,0.15,6935,3.81,New York,Spanish,206,5707,1,Fashionistas,2021-08-15
2053,Datatech Solutions,Social Media,All Ages,15 Days,Google Ads,0.08,14963,2.09,New York,German,135,7505,4,Tech Enthusiasts,2021-08-16
2054,Innovate Industries,Search,All Ages,30 Days,Google Ads,0.13,18789,5.55,Los Angeles,English,805,8081,3,Health & Wellness,2021-08-17
2055,Innovate Industries,Influencer,Men 25-34,30 Days,Email,0.08,16781,2.2,Los Angeles,French,563,5553,4,Fashionistas,2021-08-18
2056,Techcorp,Display,Women 35-44,30 Days,Email,0.09,12704,3.76,Los Angeles,German,116,6691,9,Outdoor Adventurers,2021-08-19
2057,Nexgen Systems,Display,Women 35-44,15 Days,Instagram,0.05,18813,7.04,New York,French,614,2060,6,Fashionistas,2021-08-20
2058,Datatech Solutions,Display,All Ages,30 Days,Email,0.02,9860,5.75,Miami,Spanish,544,4319,5,Tech Enthusiasts,2021-08-21
2059,Innovate Industries,Influencer,Men 25-34,45 Days,Instagram,0.14,15283,2.07,Houston,German,198,6145,3,Health & Wellness,2021-08-22
2060,Alpha Innovations,Search,All Ages,45 Days,Google Ads,0.05,9803,4.0,Chicago,French,488,4669,8,Outdoor Adventurers,2021-08-23
2061,Datatech Solutions,Social Media,All Ages,45 Days,Google Ads,0.11,5211,5.29,Chicago,German,870,5910,10,Foodies,2021-08-24
2062,Nexgen Systems,Search,Women 35-44,60 Days,Youtube,0.05,11582,3.71,Los Angeles,French,774,9294,6,Foodies,2021-08-25
2063,Techcorp,Email,Men 25-34,60 Days,Youtube,0.12,8154,5.23,New York,German,370,5071,9,Outdoor Adventurers,2021-08-26
2064,Innovate Industries,Display,Women 25-34,30 Days,Email,0.13,16754,6.23,Chicago,Mandarin,671,4846,10,Health & Wellness,2021-08-27
2065,Techcorp,Social Media,Men 18-24,15 Days,Google Ads,0.13,13200,5.99,Chicago,French,596,3505,9,Foodies,2021-08-28
2066,Innovate Industries,Display,Men 25-34,30 Days,Instagram,0.09,19319,4.74,Los Angeles,English,746,3050,1,Tech Enthusiasts,2021-08-29
2067,Datatech Solutions,Social Media,Women 35-44,15 Days,Email,0.14,18461,7.52,Chicago,German,381,8686,5,Health & Wellness,2021-08-30
2068,Innovate Industries,Display,Men 18-24,60 Days,Google Ads,0.04,14186,3.74,Houston,Mandarin,460,5624,9,Outdoor Adventurers,2021-08-31
2069,Techcorp,Search,All Ages,15 Days,Instagram,0.13,9690,2.75,Houston,Mandarin,921,8218,10,Health & Wellness,2021-09-01
2070,Nexgen Systems,Social Media,Men 18-24,60 Days,Email,0.11,16856,3.0,Houston,French,344,9455,3,Foodies,2021-09-02
2071,Datatech Solutions,Display,Men 25-34,15 Days,Email,0.13,11938,3.94,Chicago,English,285,8537,7,Health & Wellness,2021-09-03
2072,Alpha Innovations,Influencer,Men 18-24,60 Days,Facebook,0.09,19309,6.52,New York,Mandarin,400,3410,10,Foodies,2021-09-04
2073,Datatech Solutions,Search,Women 35-44,15 Days,Email,0.05,6188,6.97,New York,Mandarin,408,6051,1,Fashionistas,2021-09-05
2074,Innovate Industries,Influencer,Men 18-24,60 Days,Instagram,0.02,10677,4.0,New York,German,779,1319,8,Foodies,2021-09-06
2075,Nexgen Systems,Influencer,Women 25-34,60 Days,Website,0.04,18792,6.86,Miami,French,197,3210,3,Foodies,2021-09-07
2076,Datatech Solutions,Social Media,Women 25-34,60 Days,Email,0.04,17139,6.26,Los Angeles,German,970,6756,5,Tech Enthusiasts,2021-09-08
2077,Datatech Solutions,Social Media,Women 25-34,30 Days,Instagram,0.03,19911,6.23,Los Angeles,English,307,6418,5,Outdoor Adventurers,2021-09-09
2078,Alpha Innovations,Email,Men 18-24,15 Days,Instagram,0.15,12811,6.91,Los Angeles,English,489,6013,9,Health & Wellness,2021-09-10
2079,Datatech Solutions,Email,All Ages,60 Days,Facebook,0.09,13707,4.48,Houston,Spanish,811,7434,10,Tech Enthusiasts,2021-09-11
2080,Datatech Solutions,Influencer,Men 18-24,15 Days,Email,0.1,19839,4.35,Chicago,English,450,7663,7,Health & Wellness,2021-09-12
2081,Datatech Solutions,Search,Women 35-44,15 Days,Google Ads,0.06,7224,7.77,Los Angeles,English,658,3290,6,Outdoor Adventurers,2021-09-13
2082,Nexgen Systems,Email,Women 35-44,60 Days,Email,0.02,16746,7.0,Chicago,English,119,4657,5,Foodies,2021-09-14
2083,Alpha Innovations,Social Media,Men 18-24,30 Days,Website,0.08,16060,5.07,Los Angeles,English,790,8666,1,Fashionistas,2021-09-15
2084,Nexgen Systems,Email,Men 18-24,45 Days,Youtube,0.12,15397,2.06,Miami,French,468,5703,5,Foodies,2021-09-16
2085,Datatech Solutions,Social Media,Women 35-44,45 Days,Google Ads,0.1,13593,6.89,New York,Spanish,674,6457,8,Foodies,2021-09-17
2086,Datatech Solutions,Display,Men 25-34,30 Days,Youtube,0.05,19078,5.2,Miami,French,639,1026,9,Outdoor Adventurers,2021-09-18
2087,Alpha Innovations,Social Media,Men 25-34,30 Days,Youtube,0.02,15734,4.49,Miami,Mandarin,669,7604,1,Foodies,2021-09-19
2088,Nexgen Systems,Display,Men 25-34,45 Days,Google Ads,0.03,18054,7.61,Los Angeles,French,155,8552,1,Tech Enthusiasts,2021-09-20
2089,Nexgen Systems,Email,Men 25-34,60 Days,Email,0.05,15878,2.8,Los Angeles,Mandarin,920,5440,5,Foodies,2021-09-21
2090,Innovate Industries,Display,Women 35-44,45 Days,Instagram,0.04,5830,7.46,Miami,Spanish,749,6171,9,Outdoor Adventurers,2021-09-22
2091,Datatech Solutions,Influencer,Women 35-44,30 Days,Email,0.13,5311,5.87,Los Angeles,French,351,2343,8,Tech Enthusiasts,2021-09-23
2092,Alpha Innovations,Social Media,Men 25-34,60 Days,Website,0.11,14298,4.89,Los Angeles,Spanish,288,3464,7,Foodies,2021-09-24
2093,Nexgen Systems,Email,Men 18-24,45 Days,Youtube,0.04,15701,4.45,Los Angeles,Spanish,999,8554,10,Outdoor Adventurers,2021-09-25
2094,Nexgen Systems,Search,Women 25-34,60 Days,Google Ads,0.1,11119,3.63,New York,German,586,7835,10,Outdoor Adventurers,2021-09-26
2095,Innovate Industries,Influencer,Women 25-34,30 Days,Youtube,0.1,6303,2.95,Chicago,Spanish,838,4527,1,Outdoor Adventurers,2021-09-27
2096,Nexgen Systems,Display,Women 35-44,45 Days,Website,0.05,5333,5.94,New York,German,188,9412,7,Fashionistas,2021-09-28
2097,Innovate Industries,Influencer,Women 35-44,45 Days,Google Ads,0.08,9706,7.43,Chicago,Mandarin,568,2341,5,Foodies,2021-09-29
2098,Nexgen Systems,Search,Men 25-34,15 Days,Facebook,0.06,12487,4.81,New York,English,490,7763,9,Health & Wellness,2021-09-30
2099,Alpha Innovations,Influencer,Women 25-34,15 Days,Google Ads,0.13,12188,5.96,Miami,English,451,9816,3,Fashionistas,2021-10-01
2100,Innovate Industries,Social Media,Men 18-24,15 Days,Website,0.09,13506,6.24,Chicago,Spanish,968,7684,7,Foodies,2021-10-02
2101,Innovate Industries,Social Media,All Ages,45 Days,Facebook,0.03,15594,6.26,Houston,Mandarin,436,5773,7,Fashionistas,2021-10-03
2102,Nexgen Systems,Influencer,All Ages,60 Days,Google Ads,0.14,14773,6.52,New York,Spanish,530,3050,4,Health & Wellness,2021-10-04
2103,Alpha Innovations,Display,Men 25-34,15 Days,Youtube,0.03,14472,5.93,Houston,English,935,6863,2,Health & Wellness,2021-10-05
2104,Nexgen Systems,Display,All Ages,45 Days,Facebook,0.06,18423,4.84,Miami,Spanish,877,1710,2,Tech Enthusiasts,2021-10-06
2105,Innovate Industries,Influencer,Women 25-34,45 Days,Google Ads,0.04,8905,4.56,Houston,French,689,6446,9,Health & Wellness,2021-10-07
2106,Innovate Industries,Social Media,All Ages,15 Days,Google Ads,0.15,18488,5.67,Miami,English,674,4576,7,Tech Enthusiasts,2021-10-08
2107,Datatech Solutions,Social Media,Men 25-34,15 Days,Email,0.06,19018,7.77,New York,English,484,7159,6,Foodies,2021-10-09
2108,Datatech Solutions,Email,Men 25-34,30 Days,Youtube,0.05,15882,2.86,Los Angeles,Spanish,363,2808,1,Tech Enthusiasts,2021-10-10
2109,Techcorp,Search,Men 18-24,15 Days,Google Ads,0.02,11357,5.44,Chicago,English,589,9161,1,Tech Enthusiasts,2021-10-11
2110,Nexgen Systems,Email,Men 18-24,45 Days,Youtube,0.14,16373,6.85,Miami,Mandarin,400,5617,8,Foodies,2021-10-12
2111,Nexgen Systems,Social Media,Men 18-24,60 Days,Google Ads,0.09,19879,6.54,Houston,French,523,8389,3,Tech Enthusiasts,2021-10-13
2112,Datatech Solutions,Display,Men 25-34,60 Days,Website,0.03,15610,4.25,Chicago,German,642,3920,5,Tech Enthusiasts,2021-10-14
2113,Techcorp,Search,Women 35-44,30 Days,Google Ads,0.14,12992,3.25,Houston,French,586,1481,7,Fashionistas,2021-10-15
2114,Innovate Industries,Influencer,All Ages,30 Days,Website,0.09,17575,4.14,New York,Mandarin,305,2454,2,Outdoor Adventurers,2021-10-16
2115,Techcorp,Email,Men 25-34,45 Days,Instagram,0.05,5641,2.93,Houston,German,433,1238,5,Health & Wellness,2021-10-17
2116,Techcorp,Influencer,Men 18-24,45 Days,Facebook,0.02,16961,4.46,Houston,German,568,2360,2,Outdoor Adventurers,2021-10-18
2117,Alpha Innovations,Social Media,All Ages,45 Days,Facebook,0.03,17991,3.77,Los Angeles,French,358,4987,2,Foodies,2021-10-19
2118,Techcorp,Email,All Ages,45 Days,Facebook,0.15,6118,2.93,Miami,French,650,2301,7,Fashionistas,2021-10-20
2119,Alpha Innovations,Display,All Ages,60 Days,Youtube,0.07,16422,3.99,New York,English,435,4346,3,Health & Wellness,2021-10-21
2120,Techcorp,Display,All Ages,45 Days,Instagram,0.02,9218,3.32,Houston,Spanish,740,8161,10,Fashionistas,2021-10-22
2121,Alpha Innovations,Influencer,Women 25-34,30 Days,Email,0.11,8283,3.57,Los Angeles,Spanish,944,1767,7,Outdoor Adventurers,2021-10-23
2122,Innovate Industries,Display,Women 25-34,15 Days,Website,0.14,6666,4.74,Chicago,Spanish,983,8240,3,Outdoor Adventurers,2021-10-24
2123,Datatech Solutions,Social Media,Women 35-44,60 Days,Google Ads,0.05,18097,3.07,Miami,Spanish,556,3986,10,Fashionistas,2021-10-25
2124,Alpha Innovations,Email,Women 35-44,30 Days,Youtube,0.03,13709,2.58,Los Angeles,German,190,3586,2,Tech Enthusiasts,2021-10-26
2125,Techcorp,Search,Men 25-34,30 Days,Google Ads,0.14,19216,3.73,New York,Mandarin,252,2930,4,Outdoor Adventurers,2021-10-27
2126,Alpha Innovations,Display,Men 25-34,15 Days,Website,0.04,19851,5.36,Miami,German,311,7805,7,Foodies,2021-10-28
2127,Techcorp,Social Media,Women 35-44,30 Days,Facebook,0.1,13651,3.24,Miami,German,909,2665,8,Fashionistas,2021-10-29
2128,Innovate Industries,Search,Men 25-34,45 Days,Google Ads,0.13,14907,7.74,Miami,English,875,4472,4,Tech Enthusiasts,2021-10-30
2129,Innovate Industries,Display,All Ages,60 Days,Website,0.05,19487,6.79,Houston,Mandarin,399,8441,5,Health & Wellness,2021-10-31
2130,Innovate Industries,Social Media,Women 25-34,30 Days,Youtube,0.14,12561,3.16,Houston,Mandarin,984,3556,1,Health & Wellness,2021-11-01
2131,Datatech Solutions,Display,Men 18-24,30 Days,Youtube,0.1,16135,4.81,Chicago,Spanish,271,3384,1,Fashionistas,2021-11-02
2132,Alpha Innovations,Display,Women 35-44,30 Days,Email,0.1,19306,6.67,Houston,German,999,8996,1,Fashionistas,2021-11-03
2133,Datatech Solutions,Search,Men 18-24,45 Days,Website,0.14,10820,3.97,Houston,Spanish,106,5823,5,Foodies,2021-11-04
2134,Nexgen Systems,Display,Women 25-34,30 Days,Instagram,0.1,9942,7.07,Los Angeles,French,820,6246,9,Health & Wellness,2021-11-05
2135,Techcorp,Search,All Ages,15 Days,Facebook,0.12,5813,6.67,Houston,Mandarin,816,5615,6,Tech Enthusiasts,2021-11-06
2136,Datatech Solutions,Email,All Ages,45 Days,Email,0.12,17038,5.9,Miami,Spanish,719,5184,8,Health & Wellness,2021-11-07
2137,Innovate Industries,Influencer,Women 25-34,30 Days,Instagram,0.11,8616,2.09,Miami,French,547,8621,5,Health & Wellness,2021-11-08
2138,Datatech Solutions,Email,Women 25-34,45 Days,Google Ads,0.13,16074,5.83,Miami,English,712,5173,4,Health & Wellness,2021-11-09
2139,Alpha Innovations,Email,Women 25-34,60 Days,Facebook,0.07,5091,7.95,Chicago,English,996,3761,9,Health & Wellness,2021-11-10
2140,Innovate Industries,Influencer,Women 25-34,60 Days,Facebook,0.04,6250,6.02,Los Angeles,Spanish,708,9381,9,Fashionistas,2021-11-11
2141,Techcorp,Influencer,Women 35-44,30 Days,Email,0.02,19937,6.9,Chicago,French,826,5481,1,Foodies,2021-11-12
2142,Nexgen Systems,Social Media,Women 35-44,30 Days,Facebook,0.08,12861,6.23,New York,English,182,1018,3,Health & Wellness,2021-11-13
2143,Datatech Solutions,Influencer,Men 25-34,30 Days,Email,0.11,17418,4.08,Los Angeles,English,440,1654,6,Foodies,2021-11-14
2144,Alpha Innovations,Influencer,Women 25-34,60 Days,Instagram,0.15,9055,5.29,Los Angeles,Spanish,868,1120,5,Foodies,2021-11-15
2145,Datatech Solutions,Social Media,Men 25-34,15 Days,Email,0.1,15166,6.77,Miami,Mandarin,855,1920,3,Health & Wellness,2021-11-16
2146,Techcorp,Search,Women 35-44,30 Days,Email,0.12,17786,4.4,Miami,German,357,6184,2,Outdoor Adventurers,2021-11-17
2147,Nexgen Systems,Email,Women 25-34,60 Days,Google Ads,0.06,17718,4.63,Houston,English,869,1365,2,Tech Enthusiasts,2021-11-18
2148,Nexgen Systems,Search,Men 25-34,15 Days,Youtube,0.13,15024,4.04,New York,Spanish,266,7842,5,Tech Enthusiasts,2021-11-19
2149,Nexgen Systems,Display,Men 18-24,60 Days,Website,0.01,5751,6.4,Los Angeles,English,497,9945,9,Outdoor Adventurers,2021-11-20
2150,Innovate Industries,Search,All Ages,15 Days,Facebook,0.04,8988,4.58,Houston,English,985,8755,2,Fashionistas,2021-11-21
2151,Datatech Solutions,Email,Women 25-34,60 Days,Email,0.08,18258,5.38,Chicago,Spanish,466,5173,4,Health & Wellness,2021-11-22
2152,Alpha Innovations,Social Media,Women 25-34,30 Days,Instagram,0.07,15584,2.57,Chicago,French,456,6205,10,Tech Enthusiasts,2021-11-23
2153,Nexgen Systems,Search,Women 35-44,30 Days,Instagram,0.11,8265,3.41,Los Angeles,Spanish,752,8553,7,Tech Enthusiasts,2021-11-24
2154,Datatech Solutions,Influencer,Women 35-44,30 Days,Email,0.13,16295,4.78,Houston,Spanish,541,7010,3,Health & Wellness,2021-11-25
2155,Innovate Industries,Email,Men 25-34,30 Days,Facebook,0.04,6916,4.35,Houston,German,697,2726,5,Outdoor Adventurers,2021-11-26
2156,Alpha Innovations,Social Media,Men 25-34,15 Days,Email,0.09,7106,5.22,Miami,English,822,8820,9,Foodies,2021-11-27
2157,Innovate Industries,Display,Men 25-34,15 Days,Youtube,0.06,15851,3.77,Los Angeles,Mandarin,996,8275,4,Foodies,2021-11-28
2158,Alpha Innovations,Social Media,Women 35-44,30 Days,Youtube,0.1,5991,6.7,Los Angeles,Spanish,354,6358,7,Health & Wellness,2021-11-29
2159,Alpha Innovations,Social Media,Men 18-24,30 Days,Email,0.08,12922,7.52,Miami,Spanish,902,6242,5,Fashionistas,2021-11-30
2160,Techcorp,Display,Men 25-34,60 Days,Website,0.14,15594,2.15,New York,Spanish,446,7057,4,Foodies,2021-12-01
2161,Alpha Innovations,Email,All Ages,30 Days,Youtube,0.1,5600,7.87,Houston,Mandarin,952,6921,5,Health & Wellness,2021-12-02
2162,Innovate Industries,Display,All Ages,30 Days,Facebook,0.09,5119,4.11,Chicago,German,857,5472,2,Outdoor Adventurers,2021-12-03
2163,Innovate Industries,Display,Women 35-44,30 Days,Website,0.02,7212,2.09,Chicago,French,115,2414,4,Health & Wellness,2021-12-04
2164,Techcorp,Influencer,Women 25-34,45 Days,Email,0.07,18076,5.75,New York,French,534,5432,1,Foodies,2021-12-05
2165,Datatech Solutions,Display,Men 18-24,30 Days,Website,0.13,9028,6.16,New York,Spanish,316,5755,6,Fashionistas,2021-12-06
2166,Datatech Solutions,Email,Men 25-34,60 Days,Facebook,0.02,15805,2.29,Miami,French,491,9129,7,Fashionistas,2021-12-07
2167,Techcorp,Email,Men 25-34,60 Days,Youtube,0.1,19781,3.68,Houston,Spanish,662,2838,5,Fashionistas,2021-12-08
2168,Alpha Innovations,Display,Men 18-24,60 Days,Email,0.15,13341,7.51,Chicago,English,844,7058,2,Tech Enthusiasts,2021-12-09
2169,Datatech Solutions,Display,Women 25-34,30 Days,Website,0.06,6152,2.23,New York,French,264,2518,7,Foodies,2021-12-10
2170,Alpha Innovations,Social Media,Women 35-44,60 Days,Google Ads,0.06,10913,5.38,New York,Mandarin,731,7506,10,Outdoor Adventurers,2021-12-11
2171,Alpha Innovations,Search,Men 18-24,15 Days,Youtube,0.01,16624,5.47,New York,English,304,7253,5,Health & Wellness,2021-12-12
2172,Nexgen Systems,Search,Women 25-34,45 Days,Youtube,0.08,13801,2.58,Chicago,French,661,1774,9,Tech Enthusiasts,2021-12-13
2173,Innovate Industries,Influencer,Men 18-24,15 Days,Youtube,0.04,8939,5.78,Chicago,English,725,5871,1,Health & Wellness,2021-12-14
2174,Alpha Innovations,Display,Women 35-44,30 Days,Facebook,0.11,7015,5.23,Houston,Mandarin,382,1754,6,Tech Enthusiasts,2021-12-15
2175,Datatech Solutions,Display,Women 35-44,30 Days,Website,0.05,14263,6.73,Los Angeles,French,637,1403,5,Foodies,2021-12-16
2176,Nexgen Systems,Email,All Ages,15 Days,Youtube,0.04,8654,5.47,New York,Mandarin,463,3253,2,Foodies,2021-12-17
2177,Techcorp,Influencer,All Ages,45 Days,Website,0.13,17347,6.16,Houston,Spanish,674,6417,10,Fashionistas,2021-12-18
2178,Nexgen Systems,Email,All Ages,60 Days,Youtube,0.05,11481,4.32,Los Angeles,Spanish,146,5136,7,Fashionistas,2021-12-19
2179,Innovate Industries,Display,Women 35-44,45 Days,Website,0.12,18199,3.87,Los Angeles,German,612,7742,10,Outdoor Adventurers,2021-12-20
2180,Techcorp,Display,Women 35-44,15 Days,Website,0.15,12086,4.58,Los Angeles,Mandarin,560,8597,6,Fashionistas,2021-12-21
2181,Innovate Industries,Social Media,Women 35-44,15 Days,Website,0.07,10328,5.61,New York,Spanish,702,7624,4,Health & Wellness,2021-12-22
2182,Techcorp,Display,Women 25-34,30 Days,Website,0.1,15463,2.94,Los Angeles,Spanish,837,4717,4,Fashionistas,2021-12-23
2183,Alpha Innovations,Email,Women 35-44,45 Days,Instagram,0.12,13911,2.11,New York,Spanish,675,6917,10,Health & Wellness,2021-12-24
2184,Techcorp,Email,All Ages,15 Days,Facebook,0.08,16063,6.59,Los Angeles,Spanish,263,6561,1,Health & Wellness,2021-12-25
2185,Alpha Innovations,Email,Women 25-34,15 Days,Facebook,0.06,16302,7.77,Los Angeles,English,385,9401,7,Outdoor Adventurers,2021-12-26
2186,Nexgen Systems,Display,Women 35-44,60 Days,Instagram,0.14,10109,7.16,Houston,Spanish,671,7953,10,Health & Wellness,2021-12-27
2187,Innovate Industries,Display,Men 25-34,15 Days,Youtube,0.1,10456,3.09,Houston,German,962,2328,1,Health & Wellness,2021-12-28
2188,Alpha Innovations,Search,All Ages,60 Days,Instagram,0.02,14530,3.5,Chicago,French,828,2685,7,Health & Wellness,2021-12-29
2189,Alpha Innovations,Influencer,Men 18-24,30 Days,Instagram,0.14,16136,7.93,Miami,Mandarin,126,1514,7,Tech Enthusiasts,2021-12-30
2190,Datatech Solutions,Social Media,Women 25-34,30 Days,Email,0.12,12154,3.99,New York,Spanish,329,7443,6,Health & Wellness,2021-12-31
2191,Nexgen Systems,Display,Men 18-24,60 Days,Website,0.08,12479,5.57,New York,Mandarin,111,3210,8,Foodies,2021-01-01
2192,Innovate Industries,Email,Men 25-34,60 Days,Youtube,0.01,15284,3.1,Chicago,English,134,2509,10,Fashionistas,2021-01-02
2193,Nexgen Systems,Display,Men 18-24,30 Days,Facebook,0.13,15804,2.49,Miami,Spanish,822,6570,6,Fashionistas,2021-01-03
2194,Alpha Innovations,Email,Men 18-24,30 Days,Facebook,0.12,14984,4.23,New York,French,259,2263,9,Tech Enthusiasts,2021-01-04
2195,Alpha Innovations,Search,Women 35-44,45 Days,Website,0.04,17075,6.63,Chicago,Spanish,188,8202,3,Health & Wellness,2021-01-05
2196,Nexgen Systems,Email,Men 25-34,30 Days,Instagram,0.12,13273,7.12,New York,German,1000,7404,4,Tech Enthusiasts,2021-01-06
2197,Datatech Solutions,Influencer,Women 35-44,15 Days,Youtube,0.09,18054,4.79,Miami,French,155,5629,4,Fashionistas,2021-01-07
2198,Datatech Solutions,Display,Men 25-34,15 Days,Email,0.04,5407,5.48,Miami,French,258,8329,2,Foodies,2021-01-08
